frame,x,y
0,527.7042062415197 275.91316146540026 784.3446404341927 523.3837535014005 251.96842105263158 456.18404907975463 634.1783536585366 828.8054711246201 521.6200317965024 277.9102990033223 740.5669934640523 518.4991789819376,112.55223880597015 116.35549525101764 122.1696065128901 203.30532212885154 372.0571428571429 375.70245398773005 378.4237804878049 399.1565349544073 488.1335453100159 575.8554817275748 585.7173202614379 585.5270935960591
1,527.6210235131397 276.1373092926491 784.1798063623789 523.336690647482 252.02472952086552 456.297213622291 634.2377300613497 828.6646058732612 521.6243980738362 277.83779264214047 740.6135986733002 518.5226130653266,113.67496542185339 117.500693481276 123.3015214384509 204.87913669064747 374.5455950540958 378.35603715170276 381.0276073619632 401.94744976816077 491.30176565008026 579.7976588628762 589.6152570480929 589.5075376884422
2,527.896700143472 277.0142653352354 783.8153409090909 523.6710914454277 252.52063492063493 456.6099518459069 634.4619047619047 828.5736925515056 521.9253731343283 278.06174957118355 741.0633561643835 518.8490566037735,116.3974175035868 120.1283880171184 125.96732954545455 208.24188790560473 379.55396825396826 383.4975922953451 386.24285714285713 407.2107765451664 497.7910447761194 587.3070325900514 597.2808219178082 597.271012006861
3,527.671511627907 277.06222865412445 783.1206395348837 523.3654135338346 252.43017656500803 456.3851132686084 634.1217948717949 828.3155339805825 521.6206322795341 277.8200692041523 740.8494809688582 518.5106007067138,118.68023255813954 122.3849493487699 128.38226744186048 211.16691729323307 384.09470304975923 388.042071197411 390.6826923076923 411.9190938511327 503.56239600665555 594.136678200692 604.1695501730104 604.1519434628975
4,527.820395738204 277.8140243902439 782.6217054263566 523.5544871794872 252.72361809045225 456.72278911564626 634.0710659898477 828.1252115059222 521.8031358885017 277.77477477477476 741.1324863883848 518.5547309833024,122.11872146118722 126.03353658536585 131.91782945736435 215.22916666666666 390.1708542713568 394.1751700680272 396.8527918781726 418.2876480541455 511.2247386759582 603.0990990990991 613.2141560798548 613.3988868274582
5,527.795665634675 278.3044822256569 782.1747269890795 523.5255591054313 252.95068027210885 456.72033898305085 634.168918918919 828.160744500846 521.7797202797203 277.69658886894075 741.1281588447654 518.5643382352941,124.77399380804954 128.7496136012365 134.61310452418095 218.5367412140575 394.79931972789115 398.9949152542373 401.6841216216216 423.1844331641286 517.1066433566433 610.0053859964094 619.9404332129964 620.3088235294117
6,527.4721362229102 278.42 781.2419601837672 523.163723916533 252.89447236180905 456.3322091062395 633.7265100671141 827.6381909547739 521.49378330373 277.3151183970856 740.9283154121864 518.3720073664825,127.89473684210526 131.75538461538463 137.71516079632465 222.26324237560192 399.9179229480737 404.2074198988196 406.8993288590604 428.49078726968173 523.5310834813499 617.4499089253187 627.5268817204301 627.8195211786372
7,527.7029548989113 279.24228395061726 780.9859375 523.4467408585056 253.20840336134455 456.7766497461929 633.9512605042016 827.7140439932318 521.8260105448155 277.3850364963504 741.4205776173285 518.6094032549729,131.49922239502334 135.5185185185185 141.4171875 226.55484896661366 405.89747899159664 410.155668358714 412.85546218487394 434.76818950930624 530.7996485061511 625.7974452554745 635.7815884476535 636.3254972875226
8,527.8152671755726 279.58435582822085 780.7673343605547 523.5845181674565 253.53949579831934 456.89112227805697 634.0268907563026 827.7318718381113 521.9440559440559 277.524500907441 741.625 518.7114337568058,133.18320610687022 137.16564417177915 143.22342064714945 228.5086887835703 408.67899159663864 413.0117252931323 415.7798319327731 437.7571669477234 534.236013986014 629.8185117967332 639.9875 640.4954627949184
9,527.6539050535988 280.0423600605144 780.0830769230769 523.3810264385692 253.57 456.7090301003345 633.8488372093024 827.4165289256198 521.7053726169844 277.05150976909414 741.6289752650176 518.5688405797101,137.2251148545176 141.1089258698941 147.2723076923077 233.1772939346812 414.87 419.32441471571906 422.00830564784053 444.05785123966945 541.9202772963605 638.7495559502664 648.8480565371025 649.3913043478261
